 	&eogonacute; 
 	&Eogonacute; 
 	&edotblacute; 
 	&edblac; 
 	&Edblac; 
 	&edotacute; 
 	&Edotacute; 
 	&eogondotacute; 
 	&Eogondotacute; 
 	&eogondblac; 
 	&Eogondblac; 
è 	&egrave; 
È 	&Egrave; 
ê 	&ecirc; 
Ê 	&Ecirc; 
 	&eogoncirc; 
 	&ering; 
ĕ 	&ebreve; 
Ĕ 	&Ebreve; 
ē 	&emacr; 
Ē 	&Emacr; 
 	&eogonmacr; 
 	&Eogonmacr; 
 	&emacrbreve; 
 	&Emacrbreve; 
ḗ 	&emacracute; 
Ḗ 	&Emacracute; 
 	&eylig; 
 	&eacombcirc; 
 	&eucombcirc; 
 	&easup; 
 	&Easup; 
 	&eesup; 
 	&eisup; 
 	&eosup; 
 	&evsup; 
ə 	&schwa; 
 	&Eunc; 
 	&Euncclose; 
 	&eunc; 
 	&eext; 
 	&etall; 
f 	— 
F 	— 
 	&fenl; 
ꜰ 	&fscap; 
 	&fdotbl; 
 	&Fdotbl; 
ḟ 	&fdot; 
Ḟ 	&Fdot; 
 	&fscapdot; 
 	&facute; 
 	&Facute; 
 	&faumllig; 
ff 	&fflig; 
fi 	&filig; 
 	&fjlig; 
 	&foumllig; 
fl 	&fllig; 
 	&frlig; 
 	&ftlig; 
 	&fuumllig; 
 	&fylig; 
ffi 	&ffilig; 
ffl 	&ffllig; 
 	&fftlig; 
 	&ffylig; 
 	&ftylig; 
ⅎ 	&fturn; 
Ⅎ 	&Fturn; 
ꟻ 	&Frev; 
ꝼ 	&fins; 
Ꝼ 	&Fins; 
 	&finsenl; 
 	&finsdot; 
 	&Finsdot; 
 	&finsdothook; 
 	&finssemiclose; 
 	&finssemiclosedot; 
 	&finsclose; 
 	&finsclosedot; 
 	&finsdotbl; 
 	&Finsdotbl; 
 	&finsacute; 
 	&Finsacute; 
 	&fcurl; 
g 	— 
G 	— 
 	&genl; 
ɢ 	&gscap; 
ǥ 	&gstrok; 
Ǥ 	&Gstrok; 
 	&gdotbl; 
 	&Gdotbl; 
 	&gscapdotbl; 
ġ 	&gdot; 
Ġ 	&Gdot; 
 	&gscapdot; 
Ǵ 	&Gacute; 
ǵ 	&gacute; 
 	&gglig; 
 	&gdlig; 
 	&gdrotlig; 
 	&gethlig; 
 	&golig; 
 	&gplig; 
 	&grlig; 
ᵹ 	&gins; 
Ᵹ 	&Gins; 
ꝿ 	&ginsturn; 
Ꝿ 	&Ginsturn; 
 	&Gsqu; 
 	&gdivloop; 
 	&glglowloop; 
 	&gsmlowloop; 
ɡ 	&gopen; 
 	&gcurl; 
h 	— 
H 	— 
 	&henl; 
ʜ 	&hscap; 
ɦ 	&hhook; 
ħ 	&hstrok; 
 	&hovlmed; 
ḥ 	&hdotbl; 
Ḥ 	&Hdotbl; 
ḣ 	&Hdot; 
Ḣ 	&hdot; 
 	&hscapdot; 
 	&hacute; 
 	&Hacute; 
ƕ 	&hwair; 
Ƕ 	&HWAIR; 
 	&hslonglig; 
 	&hslongligbar; 
 	&hrarmlig; 
 	&Hrarmlig; 
ⱶ 	&hhalf; 
Ⱶ 	&Hhalf; 
 	&Hunc; 
 	&hrdes; 
i 	— 
I 	— 
 	&ienl; 
ɪ 	&iscap; 
ı 	&inodot; 
 	&inodotenl; 
İ 	&Idot; 
ɨ 	&istrok; 
į 	&iogon; 
Į 	&Iogon; 
 	&icurl; 
 	&Icurl; 
ị 	&idotbl; 
Ị 	&Idotbl; 
 	&ibrevinvbl; 
ï 	&iuml; 
Ï 	&Iuml; 
í 	&iacute; 
Í 	&Iacute; 
 	&idblac; 
 	&Idblac; 
 	&idotacute; 
 	&Idotacute; 
ì 	&igrave; 
Ì 	&Igrave; 
î 	&icirc; 
Î 	&Icirc; 
ỉ 	&ihook; 
Ỉ 	&Ihook; 
ĭ 	&ibreve; 
Ĭ 	&Ibreve; 
ī 	&imacr; 
Ī 	&Imacr; 
 	&iovlmed; 
 	&Iovlhigh; 
 	&imacrbreve; 
 	&Imacrbreve; 
 	&imacracute; 
 	&Imacracute; 
ĳ 	&ijlig; 
Ĳ 	&IJlig; 
 	&iasup; 
 	&iesup; 
 	&iosup; 
 	&iusup; 
 	&ivsup; 
 	&ilong; 
ꟾ 	&Ilong; 
j 	— 
J 	— 
 	&jenl; 
ᴊ 	&jscap; 
ȷ 	&jnodot; 
 	&jnodotenl; 
 	&Jdot; 
ɟ 	&jnodotstrok; 
ɉ 	&jbar; 
Ɉ 	&Jbar; 
 	&jcurl; 
 	&Jcurl; 
 	&juml; 
 	&Juml; 
 	&jdotbl; 
 	&Jdotbl; 
 	&jacute; 
 	&Jacute; 
 	&jdblac; 
 	&Jdblac; 
 	&jmacrmed; 
 	&jovlmed; 
 	&Jmacrhigh; 
 	&Jovlhigh; 
 	&jesup; 
k 	— 
K 	— 
 	&kenl; 
ᴋ 	&kscap; 
ƙ 	&khook; 
ꝁ 	&kbar; 
Ꝁ 	&Kbar; 
 	&kovlmed; 
ꝃ 	&kstrleg; 
Ꝃ 	&Kstrleg; 
ꝅ 	&kstrascleg; 
Ꝅ 	&Kstrascleg; 
 	&kdot; 
 	&Kdot; 
 	&kscapdot; 
ḳ 	&kdotbl; 
Ḳ 	&Kdotbl; 
ḱ 	&kacute; 
Ḱ 	&Kacute; 
 	&kslonglig; 
 	&kslongligbar; 
 	&krarmlig; 
 	&kunc; 
 	&ksemiclose; 
 	&kclose; 
 	&kcurl; 
l 	— 
L 	— 
 	&lenl; 
ʟ 	&lscap; 
ƚ 	&lbar; 
ł 	&lstrok; 
Ł 	&Lstrok; 
ꝉ 	&lhighstrok; 
Ꝉ 	&Lhighstrok; 
 	&lovlmed; 
ꝲ 	&ltailstrok; 
ḷ 	&ldotbl; 
Ḷ 	&Ldotbl; 
 	&lscapdotbl; 
 	&ldot; 
 	&Ldot; 
 	&lscapdot; 
ĺ 	&lacute; 
Ĺ 	&Lacute; 
 	&lringbl; 
 	&lmacrhigh; 
 	&lovlhigh; 
 	&Lovlhigh; 
ꝇ 	&lbrk; 
Ꝇ 	&Lbrk; 
ỻ 	&llwelsh; 
Ỻ 	&LLwelsh; 
 	&lllig; 
 	&ldes; 
ꞁ 	&lturn; 
Ꞁ 	&Lturn; 
m 	— 
M 	— 
 	&menl; 
ᴍ 	&mscap; 
ꝳ 	&mtailstrok; 
ṃ 	&mdotbl; 
Ṃ 	&Mdotbl; 
 	&mscapdotbl; 
ṁ 	&mdot; 
Ṁ 	&Mdot; 
 	&mscapdot; 
ḿ 	&macute; 
Ḿ 	&Macute; 
 	&mringbl; 
 	&mmacrmed; 
 	&Mmacrhigh; 
 	&movlmed; 
 	&Movlhigh; 
 	&mesup; 
ꟽ 	&Minv; 
 	&mrdes; 
o 	&munc; 
 	&Munc; 
P 	&muncdes; 
 	&Muncdes; 
p 	&muncacute; 
 	&Muncacute; 
ꟿ 	&M5leg; 
n 	— 
N 	— 
 	&nenl; 
ɴ 	&nscap; 
 	&nscapldes; 
ƞ 	&nlrleg; 
ɲ 	&nlfhook; 
 	&nbar; 
ꝴ 	&ntailstrok; 
ṅ 	&ndot; 
Ṅ 	&Ndot; 
 	&nscapdot; 
ń 	&nacute; 
Ń 	&Nacute; 
ṇ 	&ndotbl; 
Ṇ 	&Ndotbl; 
 	&nscapdotbl; 
 	&ncirc; 
ñ 	&ntilde; 
Ñ 	&Ntilde; 
 	&nringbl; 
 	&nmacrmed; 
 	&Nmacrhigh; 
ŋ 	&eng; 
Ŋ 	&ENG; 
 	&nscapslonglig; 
 	&nrdes; 
 	&Nrdes; 
 	&nscaprdes; 
 	&nflour; 
o 	— 
O 	— 
 	&oenl; 
ᴏ 	&oscap; 
º 	&ordm; 
ǫ 	&oogon; 
Ǫ 	&Oogon; 
 	&ocurl; 
 	&Ocurl; 
 	&oogoncurl; 
 	&Oogoncurl; 
 	&ocurlacute; 
 	&Ocurlacute; 
ø 	&oslash; 
Ø 	&Oslash; 
 	&oslashcurl; 
 	&Oslashcurl; 
 	&oslashogon; 
 	&Oslashogon; 
ọ 	&odotbl; 
Ọ 	&Odotbl; 
 	&oslashdotbl; 
 	&Oslashdotbl; 
ȯ 	&odot; 
Ȯ 	&Odot; 
 	&oogondot; 
 	&Oogondot; 
ǭ 	&oogonmacr; 
Ǭ 	&Oogonmacr; 
 	&oslashdot; 
 	&Oslashdot; 
 	&oogondotbl; 
 	&Oogondotbl; 
ö 	&ouml; 
Ö 	&Ouml; 
 	&odiaguml; 
 	&oumlacute; 
ó 	&oacute; 
Ó 	&Oacute; 
ǿ 	&oslashacute; 
Ǿ 	&Oslashacute; 
 	&oslashdblac; 
 	&Oslashdblac; 
 	&oogonacute; 
 	&Oogonacute; 
 	&oslashogonacute; 
 	&Oslashogonacute; 
ő 	&odblac; 
Ő 	&Odblac; 
 	&odotacute; 
 	&Odotacute; 
 	&oogondotacute; 
 	&Oogondotacute; 
 	&oslashdotacute; 
 	&Oslashdotacute; 
 	&oogondblac; 
 	&Oogondblac; 
ò 	&ograve; 
Ò 	&Ograve; 
ô 	&ocirc; 
Ô 	&Ocirc; 
 	&oumlcirc; 
 	&Oumlcirc; 
 	&oogoncirc; 
ǒ 	&ocar; 
Ǒ 	&Ocar; 
õ 	&otilde; 
Õ 	&Otilde; 
 	&oring; 
ỏ 	&ohook; 
Ỏ 	&Ohook; 
ŏ 	&obreve; 
Ŏ 	&Obreve; 
 	&oslashbreve; 
 	&Oslashbreve; 
ō 	&omacr; 
Ō 	&Omacr; 
 	&oslashmacr; 
 	&Oslashmacr; 
 	&omacrbreve; 
 	&Omacrbreve; 
 	&oslashmacrbreve; 
 	&Oslashmacrbreve; 
ṓ 	&omacracute; 
Ṓ 	&Omacracute; 
 	&oslashmacracute; 
 	&Oslashmacracute; 
ȫ 	&oumlmacr; 
Ȫ 	&Oumlmacr; 
 	&oclig; 
oe 	&oelig; 
OE 	&OElig; 
ɶ 	&oeligscap; 
 	&oeligenl; 
Ꝍ 	&Oloop; 
ꝍ 	&oloop; 
 	&oeligacute; 
 	&OEligacute; 
 	&oeligdblac; 
 	&OEligdblac; 
 	&oeligmacr; 
 	&OEligmacr; 
 	&oeligmacrbreve; 
 	&OEligmacrbreve; 
ꝏ 	&oolig; 
Ꝏ 	&OOlig; 
 	&ooliguml; 
 	&OOliguml; 
 	&ooligacute; 
 	&OOligacute; 
 	&ooligdblac; 
 	&OOligdblac; 
 	&ooligdotbl; 
 	&OOligdotbl; 
 	&oasup; 
 	&oesup; 
 	&Oesup; 
 	&oisup; 
 	&oosup; 
 	&ousup; 
 	&Ousup; 
 	&ovsup; 
ɔ 	&oopen; 
 	&oopenmacr; 
p 	— 
P 	— 
 	&penl; 
ᴘ 	&pscap; 
ꝑ 	&pbardes; 
Ꝑ 	&Pbardes; 
ꝓ 	&pflour; 
Ꝓ 	&Pflour; 
ꝕ 	&psquirrel; 
Ꝕ 	&Psquirrel; 
 	&pdotbl; 
 	&Pdotbl; 
ṗ 	&pdot; 
Ṗ 	&Pdot; 
 	&pscapdot; 
ṕ 	&pacute; 
Ṕ 	&Pacute; 
 	&pmacr; 
 	&pplig; 
 	&PPlig; 
 	&ppflourlig; 
 	&ppliguml; 
 	&PPliguml; 
ꟼ 	&Prev; 
q 	— 
Q 	— 
 	&qenl; 
 	&qscap; 
ꝙ 	&qslstrok; 
Ꝙ 	&Qslstrok; 
ꝗ 	&qbardes; 
Ꝗ 	&Qbardes; 
 	&qbardestilde; 
 	&q2app; 
 	&q3app; 
 	&qcentrslstrok; 
 	&qdotbl; 
 	&Qdotbl; 
 	&qdot; 
 	&Qdot; 
 	&qmacr; 
 	&qvinslig; 
 	&Qstem; 
r 	— 
R 	— 
 	&renl; 
ʀ 	&rscap; 
Ʀ 	&YR; 
ɼ 	&rdes; 
 	&rdesstrok; 
ꝵ 	&rtailstrok; 
ꝶ 	&rscaptailstrok; 
℞ 	&Rtailstrok; 
℟ 	&Rslstrok; 
ṛ 	&rdotbl; 
Ṛ 	&Rdotbl; 
ṙ 	&rdot; 
