ḍ	&ddotbl;	1E0D
Ḍ	&Ddotbl;	1E0C
	&dscapdotbl;	EF26
ḋ	&ddot;	1E0B
Ḋ	&Ddot;	1E0A
	&dacute;	E477
	&Dacute;	E077
ð	&eth;	00F0
Ð	&ETH;	00D0
	&ethenl;	EEE5
ᴆ	&ethscap;	1D06
	&ethdotbl;	E48F
	&ETHdotbl;	E08F
	&Dovlhigh;	F7B6
	&drotdrotlig;	EEC6
Ꝺ	&Drot;	A779
ꝺ	&drot;	A77A
	&drotdot;	EBD1
	&drotacute;	EBB2
	&drotenl;	EEE4
ẟ	&dscript;	1E9F
	&dcurl;	F193
e	?	0065
E	?	0045
	&eenl;	EEE6
ᴇ	&escap;	1D07
ę	&eogon;	0119
Ę	&Eogon;	0118
	&ecurl;	E4E9
	&Ecurl;	E0E9
	&eogoncurl;	EBF3
	&Eogoncurl;	EBF2
ẹ	&edotbl;	1EB9
Ẹ	&Edotbl;	1EB8
	&eogondot;	E4EB
	&Eogondot;	E0EB
	&eogondotbl;	E4E8
	&Eogondotbl;	E0E8
	&eogonenl;	EAF3
ė	&edot;	0117
Ė	&Edot;	0116
ë	&euml;	00EB
Ë	&Euml;	00CB
	&eumlmacr;	E4CD
é	&eacute;	00E9
É	&Eacute;	00C9
	&eogonacute;	E499
	&Eogonacute;	E099
	&edotblacute;	E498
	&edblac;	E4D1
	&Edblac;	E0D1
	&edotacute;	E4C8
	&Edotacute;	E0C8
	&eogondotacute;	E4EC
	&Eogondotacute;	E0EC
	&eogondblac;	E4EA
	&Eogondblac;	E0EA
è	&egrave;	00E8
È	&Egrave;	00C8
ê	&ecirc;	00EA
Ê	&Ecirc;	00CA
	&eogoncirc;	E49F
	&ering;	E4CF
ĕ	&ebreve;	0115
Ĕ	&Ebreve;	0114
ē	&emacr;	0113
Ē	&Emacr;	0112
	&eogonmacr;	E4BC
	&Eogonmacr;	E0BC
	&emacrbreve;	E4B7
	&Emacrbreve;	E0B7
ḗ	&emacracute;	1E17
Ḗ	&Emacracute;	1E16
	&eylig;	EEC7
	&eacombcirc;	EBBD
	&eucombcirc;	EBBE
	&easup;	E4E1
	&Easup;	E0E1
	&eesup;	E8E2
	&eisup;	E4E2
	&eosup;	E8E3
	&evsup;	E4E3
ə	&schwa;	0259
	&Eunc;	F10A
	&Euncclose;	F217
	&eunc;	F218
	&eext;	F219
	&etall;	F21A
f	?	0066
F	?	0046
	&fenl;	EEE7
ꜰ	&fscap;	A730
	&fdotbl;	E4EE
	&Fdotbl;	E0EE
ḟ	&fdot;	1E1F
Ḟ	&Fdot;	1E1E
	&fscapdot;	EBD7
	&facute;	E4F0
	&Facute;	E0F0
	&faumllig;	EEC8
ﬀ	&fflig;	FB00
ﬁ	&filig;	FB01
	&fjlig;	EEC9
	&foumllig;	F1BC
ﬂ	&fllig;	FB02
	&frlig;	EECA
	&ftlig;	EECB
	&fuumllig;	EECC
	&fylig;	EECD
ﬃ	&ffilig;	FB03
ﬄ	&ffllig;	FB04
	&fftlig;	EECE
	&ffylig;	EECF
	&ftylig;	EED0
ⅎ	&fturn;	214E
Ⅎ	&Fturn;	2132
ꟻ	&Frev;	A7FB
ꝼ	&fins;	A77C
Ꝼ	&Fins;	A77B
	&finsenl;	EEFF
	&finsdot;	EBD4
	&Finsdot;	EBD3
	&finsdothook;	F21C
	&finssemiclose;	F21B
	&finssemiclosedot;	EBD5
	&finsclose;	F207
	&finsclosedot;	EBD6
	&finsdotbl;	E7E5
	&Finsdotbl;	E3E5
	&finsacute;	EBB4
	&Finsacute;	EBB3
	&fcurl;	F194
g	?	0067
G	?	0047
	&genl;	EEE8
ɢ	&gscap;	0262
ǥ	&gstrok;	01E5
Ǥ	&Gstrok;	01E4
	&gdotbl;	E501
	&Gdotbl;	E101
	&gscapdotbl;	EF27
ġ	&gdot;	0121
Ġ	&Gdot;	0120
	&gscapdot;	EF20
Ǵ	&Gacute;	01F4
ǵ	&gacute;	01F5
	&gglig;	EED1
	&gdlig;	EED2
	&gdrotlig;	EED3
	&gethlig;	EED4
	&golig;	EEDE
	&gplig;	EAD2
	&grlig;	EAD0
ᵹ	&gins;	1D79
Ᵹ	&Gins;	A77D
ꝿ	&ginsturn;	A77F
Ꝿ	&Ginsturn;	A77E
	&Gsqu;	F10E
	&gdivloop;	F21D
	&glglowloop;	F21E
	&gsmlowloop;	F21F
ɡ	&gopen;	0261
	&gcurl;	F196
h	?	0068
H	?	0048
	&henl;	EEE9
ʜ	&hscap;	029C
ɦ	&hhook;	0266
ħ	&hstrok;	0127
	&hovlmed;	E517
ḥ	&hdotbl;	1E25
Ḥ	&Hdotbl;	1E24
ḣ	&Hdot;	1E23
Ḣ	&hdot;	1E22
	&hscapdot;	EBDA
	&hacute;	E516
	&Hacute;	E116
ƕ	&hwair;	0195
Ƕ	&HWAIR;	01F6
	&hslonglig;	EBAD
	&hslongligbar;	E7C7
	&hrarmlig;	E8C3
	&Hrarmlig;	E8C2
ⱶ	&hhalf;	2C76
Ⱶ	&Hhalf;	2C75
	&Hunc;	F110
	&hrdes;	F23A
i	?	0069
I	?	0049
	&ienl;	EEEA
ɪ	&iscap;	026A
ı	&inodot;	0131
	&inodotenl;	EEFD
İ	&Idot;	0130
ɨ	&istrok;	0268
	&idblstrok;	E8A1
į	&iogon;	012F
	&inodotogon;	E8DD
Į	&Iogon;	012E
	&icurl;	E52A
	&Icurl;	E12A
ị	&idotbl;	1ECB
Ị	&Idotbl;	1ECA
	&ibrevinvbl;	E548
ï	&iuml;	00EF
Ï	&Iuml;	00CF
í	&iacute;	00ED
Í	&Iacute;	00CD
	&idblac;	E543
	&Idblac;	E143
	&idotacute;	EBF7
	&Idotacute;	EBF6
ì	&igrave;	00EC
Ì	&Igrave;	00CC
î	&icirc;	00EE
Î	&Icirc;	00CE
ỉ	&ihook;	1EC9
Ỉ	&Ihook;	1EC8
ĭ	&ibreve;	012D
Ĭ	&Ibreve;	012C
ī	&imacr;	012B
Ī	&Imacr;	012A
	&iovlmed;	E550
	&Iovlhigh;	E150
	&imacrbreve;	E537
	&Imacrbreve;	E137
	&imacracute;	E535
	&Imacracute;	E135
ĳ	&ijlig;	0133
Ĳ	&IJlig;	0132
	&iasup;	E8E4
	&iesup;	E54A
	&iosup;	E8E5
	&iusup;	E8E6
	&ivsup;	E54B
	&ilong;	F220
ꟾ	&Ilong;	A7FE
j	?	006A
J	?	004A
	&jenl;	EEEB
ᴊ	&jscap;	1D0A
ȷ	&jnodot;	0237
	&jnodotenl;	EEFE
	&Jdot;	E15C
ɟ	&jnodotstrok;	025F
ɉ	&jbar;	0249
	&jdblstrok;	E8A2
Ɉ	&Jbar;	0248
	&jcurl;	E563
	&Jcurl;	E163
	&juml;	EBE3
	&Juml;	EBE2
	&jdotbl;	E551
	&Jdotbl;	E151
	&jacute;	E553
	&Jacute;	E153
	&jdblac;	E562
	&Jdblac;	E162
	&jmacrmed;	E554
	&jovlmed;	E552
	&Jmacrhigh;	E154
	&Jovlhigh;	E152
	&jesup;	E8E7
k	?	006B
K	?	004B
	&kenl;	EEEC
ᴋ	&kscap;	1D0B
ƙ	&khook;	0199
ꝁ	&kbar;	A741
Ꝁ	&Kbar;	A740
	&kovlmed;	E7C3
ꝃ	&kstrleg;	A743
Ꝃ	&Kstrleg;	A742
ꝅ	&kstrascleg;	A745
Ꝅ	&Kstrascleg;	A744
	&kdot;	E568
	&Kdot;	E168
	&kscapdot;	EBDB
ḳ	&kdotbl;	1E33
Ḳ	&Kdotbl;	1E32
ḱ	&kacute;	1E31
Ḱ	&Kacute;	1E30
	&kslonglig;	EBAE
	&kslongligbar;	E7C8
	&krarmlig;	E8C5
	&kunc;	F208
	&ksemiclose;	F221
	&kclose;	F209
	&kcurl;	F195
l	?	006C
L	?	004C
	&lenl;	EEED
ʟ	&lscap;	029F
ƚ	&lbar;	019A
ł	&lstrok;	0142
Ł	&Lstrok;	0141
ꝉ	&lhighstrok;	A749
Ꝉ	&Lhighstrok;	A748
	&lovlmed;	E5B1
ꝲ	&ltailstrok;	A772
ḷ	&ldotbl;	1E37
Ḷ	&Ldotbl;	1E36
	&lscapdotbl;	EF28
	&ldot;	E59E
	&Ldot;	E19E
	&lscapdot;	EBDC
ĺ	&lacute;	013A
Ĺ	&Lacute;	0139
	&lringbl;	E5A4
	&lmacrhigh;	E596
	&lovlhigh;	E58C
	&Lovlhigh;	F7B4
ꝇ	&lbrk;	A747
Ꝇ	&Lbrk;	A746
ỻ	&llwelsh;	1EFB
Ỻ	&LLwelsh;	1EFA
	&lllig;	F4F9
	&ldes;	F222
ꞁ	&lturn;	A781
Ꞁ	&Lturn;	A780
m	?	006D
M	?	004D
	&menl;	EEEE
ᴍ	&mscap;	1D0D
ꝳ	&mtailstrok;	A773
ṃ	&mdotbl;	1E43
Ṃ	&Mdotbl;	1E42
	&mscapdotbl;	EF29
ṁ	&mdot;	1E41
Ṁ	&Mdot;	1E40
	&mscapdot;	EBDD
ḿ	&macute;	1E3F
Ḿ	&Macute;	1E3E
	&mringbl;	E5C5
	&mmacrmed;	E5B8
	&Mmacrhigh;	E1B8
	&movlmed;	E5D2
	&Movlhigh;	E1D2
	&mesup;	E8E8
ꟽ	&Minv;	A7FD
ɯ	&mturn;	026F
Ɯ	&Mturn;	019C
	&munc;	F23C
	&mmedunc;	F225
	&Munc;	F11A
	&mrdes;	F223
	&muncdes;	F23D
	&mmeduncdes;	F226
	&Muncdes;	F224
	&muncacute;	F23E
	&mmeduncacute;	EBB6
	&Muncacute;	EBB5
ꟿ	&M5leg;	A7FF
n	?	006E
N	?	004E
	&nenl;	EEEF
ɴ	&nscap;	0274
	&nscapldes;	F22B
ƞ	&nlrleg;	019E
ɲ	&nlfhook;	0272
	&nbar;	E7B2
ꝴ	&ntailstrok;	A774
ṅ	&ndot;	1E45
Ṅ	&Ndot;	1E44
	&nscapdot;	EF21
ń	&nacute;	0144
Ń	&Nacute;	0143
ṇ	&ndotbl;	1E47
Ṇ	&Ndotbl;	1E46
	&nscapdotbl;	EF2A
	&ncirc;	E5D7
ñ	&ntilde;	00F1
Ñ	&Ntilde;	00D1
	&nringbl;	E5EE
	&nmacrmed;	E5DC
	&Nmacrhigh;	E1DC
ŋ	&eng;	014B
Ŋ	&ENG;	014A
	&nscapslonglig;	EED5
	&nrdes;	F228
	&Nrdes;	F229
	&nscaprdes;	F22A
	&nflour;	F19A
o	?	006F
O	?	004F
	&oenl;	EEF0
ᴏ	&oscap;	1D0F
º	&ordm;	00BA
ǫ	&oogon;	01EB
Ǫ	&Oogon;	01EA
	&ocurl;	E7D3
	&Ocurl;	E3D3
	&oogoncurl;	E64F
	&Oogoncurl;	E24F
	&ocurlacute;	EBB8
	&Ocurlacute;	EBB7
ø	&oslash;	00F8
Ø	&Oslash;	00D8
	&oslashcurl;	E7D4
	&Oslashcurl;	E3D4
	&oslashogon;	E655
	&Oslashogon;	E255
ọ	&odotbl;	1ECD
Ọ	&Odotbl;	1ECC
	&oslashdotbl;	EBE1
	&Oslashdotbl;	EBE0
ȯ	&odot;	022F
Ȯ	&Odot;	022E
	&oogondot;	EBDF
	&Oogondot;	EBDE
ǭ	&oogonmacr;	01ED
Ǭ	&Oogonmacr;	01EC
	&oslashdot;	EBCE
	&Oslashdot;	EBCD
	&oogondotbl;	E608
	&Oogondotbl;	E208
ö	&ouml;	00F6
Ö	&Ouml;	00D6
	&odiaguml;	E8D7
	&oumlacute;	E62C
ó	&oacute;	00F3
Ó	&Oacute;	00D3
ǿ	&oslashacute;	01FF
Ǿ	&Oslashacute;	01FE
	&oslashdblac;	EBC7
	&Oslashdblac;	EBC6
	&oogonacute;	E60C
	&Oogonacute;	E20C
	&oslashogonacute;	E657
	&Oslashogonacute;	E257
ő	&odblac;	0151
Ő	&Odblac;	0150
	&odotacute;	EBF9
	&Odotacute;	EBF8
	&oogondotacute;	EBFB
	&Oogondotacute;	EBFA
	&oslashdotacute;	EBFD
	&Oslashdotacute;	EBFC
	&oogondblac;	EBC5
