"Document Name"	"Number of Distinct Terms"	"Number of  Words   Occurring Once"	"Total Term Count"	"Average Term Frequency"
"BaJin_Fog_1931"	"522"	"522"	"522"	"1.0"
"DreamCH1"	"44"	"44"	"44"	"1.0"
"Fog(beginning)"	"3"	"3"	"3"	"1.0"
"OnetoTen"	"10"	"1"	"55"	"5.5"
"War_and_Peace"	"20167"	"8246"	"562550"	"27.8"
"moby_dick"	"19773"	"10106"	"211893"	"10.7"
